StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q10,Q11,Q12,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q2_17,Q2_18,Q2_19,Q2_20,Q2_21,Q4,Q5,Q6,Q7,Q8,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,What username did you use to access PromptEd?,How would you describe the way PromptEd helped you?,I tried to solve the problem on my own before asking PromptEd for help.,I followed along with the reasoning instead of just copying the answer.,"We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Curious","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Bored","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Confused","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Surprised","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Interested","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Anxious","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Frustrated","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Inquisitive","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Dull","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Amazed","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Worried","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Happy","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Muddled","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Irritated","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Monotonous","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Excited","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Astonished","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Dissatisfied","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Nervous","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Joyful","We are interested in the emotions you experienced when working on the Balanced Smiley problem. For each emotion below, please indicate the strength of that emotion by circling the number that best describes the intensity of your emotional response during learning of the texts. - Puzzled","Overall, I am satisfied with how easy it is to use this system.",It was simple to use this system.,"I was able to complete the tasks and scenarios quickly using
this system.",I felt comfortable using this system.,It was easy to learn to use this system.,I believe I could become productive quickly using this system.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID2_10""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID2_13""}","{""ImportId"":""QID2_14""}","{""ImportId"":""QID2_15""}","{""ImportId"":""QID2_16""}","{""ImportId"":""QID2_17""}","{""ImportId"":""QID2_18""}","{""ImportId"":""QID2_19""}","{""ImportId"":""QID2_20""}","{""ImportId"":""QID2_21""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}"
2025-05-05 10:07:21,2025-05-05 10:10:59,0,130.126.255.79,100,218,1,2025-05-05 10:11:00,R_5TTs0ioIKJ7seq6,,,,,40.112,-88.2365,anonymous,EN,0.8999999761581421,KittenLemon,1,2,4,4,3,2,5,4,2,2,3,2,4,2,4,4,2,3,4,4,1,3,4,2,7,7,7,5,6,5
2025-05-05 10:16:11,2025-05-05 10:20:12,0,130.126.255.226,100,241,1,2025-05-05 10:20:13,R_3vf83Oa1glsahFk,,,,,40.112,-88.2365,anonymous,EN,0.8999999761581421,YellowOrange,1,5,5,5,3,1,5,5,2,4,4,2,4,2,4,2,4,5,4,3,2,2,4,3,6,7,4,6,7,7
2025-05-05 10:18:26,2025-05-05 10:20:16,0,130.126.255.30,100,110,1,2025-05-05 10:20:17,R_6EAdWR3BQJ6qCE0,,,,,40.112,-88.2365,anonymous,EN,1,AppleHappy,2,2,5,4,1,2,3,4,3,2,4,2,3,3,4,1,1,2,3,2,3,2,4,3,6,7,7,7,6,7
2025-05-05 10:27:46,2025-05-05 10:31:16,0,140.248.30.47,100,210,1,2025-05-05 10:31:17,R_74RF345udLaMDa9,,,,,40.1171,-88.2482,anonymous,EN,0.8999999761581421,EagleUmbrella,3,5,5,4,3,2,2,3,2,2,4,2,2,2,3,2,3,2,2,2,2,2,2,2,5,7,3,6,6,2
2025-05-05 11:44:45,2025-05-05 11:51:42,0,130.126.255.233,100,417,1,2025-05-05 11:51:43,R_57BCfXlhEezLG43,,,,,40.112,-88.2365,anonymous,EN,0.699999988079071,TigerTiger,1,2,1,3,2,2,4,3,4,2,2,2,5,4,3,2,2,1,2,4,2,3,2,3,6,6,3,5,6,4
2025-05-05 10:22:30,2025-05-05 11:53:13,0,130.126.255.82,100,5442,1,2025-05-05 11:53:15,R_5TWZxXhfdqkBa3c,,,,,40.112,-88.2365,anonymous,EN,1,DeltaHappy,3,4,5,3,3,4,4,4,2,2,4,2,5,2,3,1,1,2,2,4,1,2,2,3,6,6,5,5,6,6
2025-05-05 12:44:29,2025-05-05 13:45:35,0,130.126.255.154,100,3666,1,2025-05-05 13:45:36,R_7uzJUz5JezxpjCF,,,,,40.112,-88.2365,anonymous,EN,0.8999999761581421,PandaUmbrella,2,3,4,3,2,3,3,4,4,4,4,2,2,3,3,3,4,2,3,2,4,2,2,4,3,3,1,4,5,4
2025-05-05 13:44:26,2025-05-05 13:46:57,0,130.126.255.83,100,151,1,2025-05-05 13:46:58,R_3eQL7IalGlbwkd8,,,,,40.112,-88.2365,anonymous,EN,1,FrostGrape,2,4,4,4,1,2,3,5,1,1,4,1,5,1,3,1,1,1,4,5,1,1,3,1,7,7,7,7,7,7
2025-05-05 20:31:09,2025-05-05 20:32:45,0,140.141.193.147,100,96,1,2025-05-05 20:32:46,R_5Oqcpk5K0WOx9gl,,,,,40.1016,-88.2822,anonymous,EN,1,SunnyUmbrella,2,4,4,4,2,3,4,5,1,2,4,2,4,2,4,3,2,3,4,5,2,2,4,3,6,7,7,6,6,7
2025-05-05 20:10:17,2025-05-06 05:49:27,0,140.177.155.229,100,34749,1,2025-05-06 05:49:27,R_7PuJaItZl1kUppK,,,,,40.1016,-88.2822,anonymous,EN,1,YellowCandy,4,4,4,3,2,5,3,4,5,5,4,2,3,4,4,1,4,1,4,3,4,3,3,5,5,2,1,5,6,6
2025-05-06 09:35:41,2025-05-06 09:41:29,0,130.126.255.43,100,347,1,2025-05-06 09:41:29,R_55SYql97e6SjbId,,,,,40.112,-88.2365,anonymous,EN,1,SunnyEagle,3,5,5,4,3,2,2,3,1,2,3,3,2,1,4,2,1,3,3,2,3,1,2,2,5,6,6,6,6,6
2025-05-06 10:30:39,2025-05-06 11:40:58,0,130.126.255.45,100,4219,1,2025-05-06 11:40:59,R_1qgSfY1q82gkq32,,,,,40.112,-88.2365,anonymous,EN,0.8999999761581421,Candy Violet,3,5,5,3,1,4,1,3,3,2,3,1,3,3,3,1,1,1,3,2,1,3,3,4,6,6,6,6,6,6
