Q1,Model-Tutor,Q10,Q11,Q12
What username did you use to access PromptEd?,Model-Tutor,How would you describe the way PromptEd helped you?,I tried to solve the problem on my own before asking PromptEd for help.,I followed along with the reasoning instead of just copying the answer.
KittenLemon,openai-explanation,1,2,4
YellowOrange,openai-scaffolding,1,5,5
AppleHappy,gemini-direct,2,2,5
EagleUmbrella,openai-scaffolding,3,5,5
TigerTiger,gemini-explanation,1,2,1
DeltaHappy,openai-direct,3,4,5
PandaUmbrella,gemini-explanation,2,3,4
FrostGrape,gemini-direct,2,4,4
SunnyUmbrella,gemini-scaffolding,2,4,4
YellowCandy,gemini-scaffolding,4,4,4
SunnyEagle,openai-direct,3,5,5
CandyViolet,gemini-scaffolding,3,5,5
